X	Y	X	Y	X	Y	X	Y	X	Y
7.6900000E1	2.2076801E0	7.7290000E1	5.3491568E1	7.6650000E1	7.8113047E0	1.5796230E2	6.3473587E0	7.6494742E1	3.6356693E0
7.7900000E1	2.7777098E0	7.8290000E1	5.3644193E1	7.7650000E1	7.8367284E0	1.5896230E2	7.4428925E0	7.7494742E1	3.6650026E0
7.8900000E1	4.2041665E0	7.9290000E1	5.5186097E1	7.8650000E1	7.9664598E0	1.5996230E2	7.4848166E0	7.8494742E1	3.4060795E0
7.9900000E1	3.6298660E0	8.0290000E1	5.5606142E1	7.9650000E1	8.8399444E0	1.6096230E2	7.4848166E0	7.9494742E1	3.5234834E0
8.0900000E1	3.6662053E0	8.1290000E1	5.5814123E1	8.0650000E1	8.9432597E0	1.6196230E2	7.3898499E0	8.0494742E1	3.8306901E0
8.1900000E1	3.6496034E0	8.2290000E1	5.7443484E1	8.1650000E1	9.1780675E0	1.6296230E2	7.3898499E0	8.1494742E1	3.2149016E0
8.2900000E1	3.6756535E0	8.3290000E1	5.8210231E1	8.2650000E1	9.1894906E0	1.6396230E2	6.2027666E0	8.2494742E1	3.1349229E0
8.3900000E1	3.7714035E0	8.4290000E1	5.8976977E1	8.3650000E1	9.2485098E0	1.6496230E2	6.2375035E0	8.3494742E1	3.6017526E0
8.4900000E1	3.0557053E0	8.5290000E1	5.9291318E1	8.4650000E1	9.0898559E0	1.6596230E2	6.2364337E0	8.4494742E1	3.6237526E0
8.5900000E1	2.8439654E0	8.6290000E1	5.9698318E1	8.5650000E1	9.2485098E0	1.6696230E2	6.2509640E0	8.5494742E1	3.7699886E0
8.6900000E1	3.2965166E0	8.7290000E1	6.2088139E1	8.6650000E1	9.9059713E0	1.6796230E2	6.1264541E0	8.6494742E1	3.4127883E0
8.7900000E1	3.9325329E0	8.8290000E1	6.2303203E1	8.7650000E1	9.9462240E0	1.6896230E2	6.2732089E0	8.7494742E1	3.3926619E0
8.8900000E1	3.9201528E0	8.9290000E1	6.2333755E1	8.8650000E1	9.8590097E0	1.6996230E2	6.5629870E0	8.8494742E1	3.5437004E0
8.9900000E1	3.8079285E0	9.0290000E1	6.2357856E1	8.9650000E1	9.7063848E0	1.7096230E2	6.8132666E0	8.9494742E1	3.6017526E0
9.0900000E1	4.2330981E0	9.1290000E1	6.3971818E1	9.0650000E1	1.0469510E1	1.7196230E2	7.4237666E0	9.0494742E1	3.0802838E0
9.1900000E1	5.2578660E0	9.2290000E1	6.5923331E1	9.1650000E1	1.0622135E1	1.7296230E2	7.0269416E0	9.1494742E1	2.8305627E0
9.2900000E1	5.1052410E0	9.3290000E1	6.6312068E1	9.2650000E1	1.0835810E1	1.7396230E2	6.2426839E0	9.2494742E1	3.0421276E0
9.3900000E1	3.6337795E0	9.4290000E1	6.7454799E1	9.3650000E1	1.0723885E1	1.7496230E2	6.1405215E0	9.3494742E1	3.2691084E0
9.4900000E1	3.4876769E0	9.5290000E1	6.8448818E1	9.4650000E1	1.0933490E1	1.7596230E2	6.0255529E0	9.4494742E1	3.3779026E0
9.5900000E1	3.5969469E0	9.6290000E1	6.9822443E1	9.5650000E1	1.1092433E1	1.7696230E2	6.0936606E0	9.5494742E1	4.0447564E0
9.6900000E1	4.6255624E0	9.7290000E1	7.0003943E1	9.6650000E1	1.1126971E1	1.7796230E2	5.7096704E0	9.6494742E1	5.3315026E0
9.7900000E1	5.1488481E0	9.8290000E1	7.0382068E1	9.7650000E1	1.1542010E1	1.7896230E2	5.9252666E0	9.7494742E1	5.4097718E0
9.8900000E1	4.9356577E0	9.9290000E1	7.0408845E1	9.8650000E1	1.1487010E1	1.7996230E2	6.6894589E0	9.8494742E1	5.4254257E0
9.9900000E1	4.9814910E0	1.0029000E2	7.1501318E1	9.9650000E1	1.1568410E1	1.8096230E2	6.7042487E0	9.9494742E1	5.5222839E0
1.0090000E2	5.0289285E0	1.0129000E2	7.3007356E1	1.0065000E2	1.1962887E1	1.8196230E2	6.5949920E0	1.0049474E2	5.7238271E0
1.0190000E2	6.0816497E0	1.0229000E2	7.2973869E1	1.0165000E2	1.1961843E1	1.8296230E2	6.4610551E0	1.0149474E2	5.8656901E0
1.0290000E2	6.3201263E0	1.0329000E2	7.3977235E1	1.0265000E2	1.1593605E1	1.8396230E2	6.4854055E0	1.0249474E2	7.4349882E0
1.0390000E2	6.5551785E0	1.0429000E2	7.6365316E1	1.0365000E2	1.1651708E1	1.8496230E2	6.5004796E0	1.0349474E2	8.0787526E0
1.0490000E2	6.3817410E0	1.0529000E2	7.6773818E1	1.0465000E2	1.2178910E1	1.8596230E2	6.4317041E0	1.0449474E2	7.9949834E0
1.0590000E2	6.6684718E0	1.0629000E2	7.7148443E1	1.0565000E2	1.2175612E1	1.8696230E2	6.1695022E0	1.0549474E2	7.8844917E0
1.0690000E2	6.8638710E0	1.0729000E2	7.9132568E1	1.0665000E2	1.2377322E1	1.8796230E2	6.1488990E0	1.0649474E2	8.3840026E0
1.0790000E2	6.6892851E0	1.0829000E2	7.9940583E1	1.0765000E2	1.2758885E1	1.8896230E2	5.9444781E0	1.0749474E2	8.7753488E0
1.0890000E2	6.6314910E0	1.0929000E2	8.0455318E1	1.0865000E2	1.2758885E1	1.8996230E2	5.6761265E0	1.0849474E2	9.1666949E0
