X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
9.9763592E1	1.5135849E2	9.9953592E1	7.7235955E1	9.9303592E1	4.0355309E1	9.9802611E1	2.2439940E1	9.9653592E1	8.9734095E0	9.9783592E1	6.4712737E0
1.0076359E2	1.5136578E2	1.0095359E2	7.8126724E1	1.0030359E2	3.9495298E1	1.0080261E2	2.3418480E1	1.0065359E2	9.5736881E0	1.0078359E2	6.2171940E0
1.0176359E2	1.5122094E2	1.0195359E2	7.7263547E1	1.0130359E2	4.0093394E1	1.0180261E2	2.3439352E1	1.0165359E2	9.9541012E0	1.0178359E2	6.3957091E0
1.0276359E2	1.5144279E2	1.0295359E2	7.8582716E1	1.0230359E2	4.0498289E1	1.0280261E2	2.4471271E1	1.0265359E2	9.8675491E0	1.0278359E2	7.6453925E0
1.0376359E2	1.5138610E2	1.0395359E2	7.8208349E1	1.0330359E2	4.0567548E1	1.0380261E2	2.7481806E1	1.0365359E2	1.0475061E1	1.0378359E2	9.8590882E0
1.0476359E2	1.5255139E2	1.0495359E2	7.6439484E1	1.0430359E2	3.9924585E1	1.0480261E2	2.7762609E1	1.0465359E2	1.3058127E1	1.0478359E2	9.2707121E0
1.0576359E2	1.5452015E2	1.0595359E2	7.6275941E1	1.0530359E2	4.1086527E1	1.0580261E2	2.7156791E1	1.0565359E2	1.1654955E1	1.0578359E2	8.9766425E0
1.0676359E2	1.5443148E2	1.0695359E2	7.8331957E1	1.0630359E2	4.1222256E1	1.0680261E2	2.6527383E1	1.0665359E2	1.1379838E1	1.0678359E2	8.8507676E0
1.0776359E2	1.5118566E2	1.0795359E2	7.8130952E1	1.0730359E2	3.9883137E1	1.0780261E2	2.5148649E1	1.0765359E2	1.1823929E1	1.0778359E2	8.4114518E0
1.0876359E2	1.5105693E2	1.0895359E2	7.8256567E1	1.0830359E2	4.0038400E1	1.0880261E2	2.6417694E1	1.0865359E2	1.2479848E1	1.0878359E2	7.2182854E0
1.0976359E2	1.5005972E2	1.0995359E2	7.6631016E1	1.0930359E2	3.9869619E1	1.0980261E2	2.7899660E1	1.0965359E2	1.3104931E1	1.0978359E2	6.5438793E0
1.1076359E2	1.5003968E2	1.1095359E2	7.7633574E1	1.1030359E2	3.8957553E1	1.1080261E2	2.9016744E1	1.1065359E2	1.3046040E1	1.1078359E2	7.4190091E0
1.1176359E2	1.4911662E2	1.1195359E2	7.7708141E1	1.1130359E2	3.7654724E1	1.1180261E2	2.8307367E1	1.1165359E2	9.9569270E0	1.1178359E2	7.8837107E0
1.1276359E2	1.4775472E2	1.1295359E2	7.9460560E1	1.1230359E2	3.7998927E1	1.1280261E2	2.7566160E1	1.1265359E2	1.0050006E1	1.1278359E2	8.5520488E0
1.1376359E2	1.4814929E2	1.1395359E2	7.9347911E1	1.1330359E2	3.7664592E1	1.1380261E2	2.5449033E1	1.1365359E2	9.7260692E0	1.1378359E2	8.0685617E0
1.1476359E2	1.4838295E2	1.1495359E2	8.0209708E1	1.1430359E2	3.8306686E1	1.1480261E2	2.5951585E1	1.1465359E2	1.0428635E1	1.1478359E2	7.4438476E0
1.1576359E2	1.4980760E2	1.1595359E2	7.8321001E1	1.1530359E2	3.9088694E1	1.1580261E2	2.6767621E1	1.1565359E2	1.0715428E1	1.1578359E2	8.2184076E0
1.1676359E2	1.4693540E2	1.1695359E2	7.7348904E1	1.1630359E2	3.9183595E1	1.1680261E2	2.3840936E1	1.1665359E2	9.7048541E0	1.1678359E2	6.2154698E0
1.1776359E2	1.4711833E2	1.1795359E2	7.9416616E1	1.1730359E2	4.0016451E1	1.1780261E2	2.5769761E1	1.1765359E2	9.2218054E0	1.1778359E2	6.6416455E0
1.1876359E2	1.4918367E2	1.1895359E2	7.8842525E1	1.1830359E2	4.0893186E1	1.1880261E2	2.5973035E1	1.1865359E2	9.6353371E0	1.1878359E2	6.7376812E0
1.1976359E2	1.4967690E2	1.1995359E2	7.8170632E1	1.1930359E2	4.0733896E1	1.1980261E2	2.5725263E1	1.1965359E2	9.1059844E0	1.1978359E2	7.5322367E0
1.2076359E2	1.4879432E2	1.2095359E2	7.7336816E1	1.2030359E2	4.1473703E1	1.2080261E2	2.5185448E1	1.2065359E2	8.9624679E0	1.2078359E2	7.7521810E0
1.2176359E2	1.4798834E2	1.2195359E2	7.6861966E1	1.2130359E2	4.1964486E1	1.2180261E2	2.4875037E1	1.2165359E2	1.2489977E1	1.2178359E2	8.9128666E0
1.2276359E2	1.4741671E2	1.2295359E2	7.8278140E1	1.2230359E2	4.1059526E1	1.2280261E2	2.5758425E1	1.2265359E2	1.0263738E1	1.2278359E2	1.0715858E1
